function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_08066830,08066830,x86,gcc,O3,1,1,0,0,5,11,8,2,2,0.18181818181818182,12.8,0,11,64,1.7282352283680003,0.10402097902097902,232.0,6,0.07692307692307693,0.13636363636363635,0.1048951048951049,0.006993006993006993,0.006993006993006993,0.0034965034965034965,0,0,48,40,44,44,0.1048951048951049,5.93309810104443,2.470561370629868,0.125,38,unknown,2,9,2,3.0,unknown,1,unknown
FUN_08066900,08066900,x86,gcc,O3,1,1,0,0,1,3,4,2,2,0.6666666666666666,20.0,0,4,20,2.1697707717176167,0.03125,16.0,2,0.1875,0.03125,0.265625,0.0,0.0,0.0,0,0,16,2,2,17,0.265625,5.014438730983426,2.6213337768478255,0.2,10,unknown,0,3,2,0.0,unknown,1,unknown
FUN_08066b20,08066b20,x86,gcc,O3,1,1,0,0,8,13,7,3,3,0.23076923076923078,4.875,1,11,39,1.5488303636819047,0.17463241558636294,168.0,5,0.06829268292682927,0.18048780487804877,0.13170731707317074,0.00975609756097561,0.0,0.014634146341463415,7,0,8,40,48,30,0.13170731707317074,5.449983592762037,2.7214843477248647,0.1794871794871795,27,unknown,4,9,3,2.076923076923077,unknown,1,unknown
FUN_08066ba0,08066ba0,x86,gcc,O3,1,1,0,0,142,265,125,72,69,0.27169811320754716,5.880281690140845,1,72,835,1.546097290283612,0.11861378061029566,2742.0,123,0.11554845580404687,0.1419062832800852,0.14802981895633652,0.005058572949946752,0.0023961661341853034,0.003194888178913738,0,0,12576,545,588,627,0.14802981895633652,6.024635195108698,2.5709518807071166,0.1497005988023952,121,unknown,86,179,72,1.6075471698113208,unknown,1,unknown
FUN_080676b0,080676b0,x86,gcc,O3,1,1,0,0,12,21,11,6,6,0.2857142857142857,6.416666666666667,1,18,77,1.3023816814657498,0.09110571311858078,212.0,9,0.09785932721712538,0.12844036697247707,0.14678899082568808,0.0030581039755351682,0.0,0.0,0,0,68,42,43,60,0.14678899082568808,5.5664830697624925,2.6245692572872366,0.14285714285714285,40,unknown,4,17,6,1.4285714285714286,unknown,1,unknown
FUN_080677b0,080677b0,x86,gcc,O3,1,1,0,0,32,65,35,26,26,0.4,5.96875,1,41,191,1.4104241642933255,0.15023651088768367,710.0,33,0.07606263982102908,0.1476510067114094,0.1185682326621924,0.006711409395973154,0.0,0.0,0,0,84,132,138,136,0.1185682326621924,5.720429206641455,2.510405050961758,0.18324607329842932,65,unknown,19,46,26,1.6,unknown,1,unknown
FUN_08067a60,08067a60,x86,gcc,O3,1,1,0,0,15,27,14,8,8,0.2962962962962963,5.6,1,15,84,1.5019325711516562,0.1696023182388994,382.0,12,0.0659090909090909,0.16136363636363638,0.10454545454545454,0.011363636363636364,0.004545454545454545,0.006818181818181818,0,0,12,74,85,65,0.10454545454545454,5.643773462961918,2.5731961821777314,0.16666666666666666,54,unknown,8,19,8,1.8518518518518519,unknown,1,unknown
FUN_08067bf0,08067bf0,x86,gcc,O3,1,1,0,0,37,67,32,21,20,0.31343283582089554,7.378378378378378,1,40,273,1.7186882299358777,0.11708587198520082,924.0,30,0.11193415637860082,0.13415637860082305,0.14156378600823044,0.0032921810699588477,0.006584362139917695,0.0,35,0,4196,163,167,228,0.14156378600823044,5.835775775841033,2.566698304548024,0.11721611721611722,75,unknown,18,49,21,2.0,unknown,1,unknown
FUN_08067fc0,08067fc0,x86,gcc,O3,1,1,0,0,18,33,17,13,11,0.3939393939393939,5.388888888888889,1,17,97,1.3118745280876418,0.10695833054751183,288.0,15,0.11374407582938388,0.13270142180094788,0.13744075829383887,0.0,0.0,0.0,0,0,40,56,56,74,0.13744075829383887,5.670868283132255,2.5723396087995423,0.17525773195876287,41,unknown,11,22,13,1.3333333333333333,unknown,1,unknown
FUN_080680e0,080680e0,x86,gcc,O3,1,1,0,0,47,83,38,23,23,0.27710843373493976,6.0,1,52,282,1.7001724860436827,0.1070019371442125,1012.0,36,0.12178956089478045,0.13670256835128416,0.1383595691797846,0.0008285004142502071,0.0115990057995029,0.0,0,0,104,165,166,224,0.1383595691797846,6.183459487564299,2.564441852103199,0.1347517730496454,89,unknown,26,57,23,1.8072289156626506,unknown,1,unknown
FUN_08068490,08068490,x86,gcc,O3,1,1,0,0,5,12,9,4,4,0.3333333333333333,11.4,1,10,57,1.4668150261648845,0.13583959899749373,176.0,7,0.08235294117647059,0.13333333333333333,0.11764705882352941,0.0,0.0,0.0,0,0,40,34,34,46,0.11764705882352941,5.657080512141242,2.506073578314845,0.15789473684210525,32,unknown,3,9,4,2.3333333333333335,unknown,1,unknown
FUN_08068530,08068530,x86,gcc,O3,1,1,0,0,55,98,45,26,24,0.2653061224489796,3.8,1,20,209,1.4174432802659223,0.12421153592347256,872.0,43,0.10173160173160173,0.15367965367965367,0.11580086580086581,0.0021645021645021645,0.012987012987012988,0.0,16,0,96,142,144,149,0.11580086580086581,6.047168851122612,2.5602219080445323,0.215311004784689,70,unknown,35,63,26,1.316326530612245,unknown,1,unknown
FUN_08068b60,08068b60,x86,gcc,O3,1,1,0,0,1,2,3,1,1,0.5,12.0,0,3,12,2.0713443230037143,0.11320754716981132,32.0,1,0.11320754716981132,0.11320754716981132,0.1320754716981132,0.0,0.0,0.0,0,0,4,6,6,12,0.1320754716981132,4.56745350091353,2.7396632589826035,0.25,8,unknown,0,2,1,0.0,unknown,1,unknown
FUN_08068bd0,08068bd0,x86,gcc,O3,1,1,0,0,5,8,5,4,3,0.5,12.0,1,7,60,1.7104025494027666,0.14516317016317015,180.0,3,0.13454545454545455,0.15636363636363637,0.14545454545454545,0.007272727272727273,0.0036363636363636364,0.007272727272727273,19,0,44,45,51,55,0.14545454545454545,5.610466988433631,2.720486147552173,0.08333333333333333,33,unknown,2,6,4,1.625,unknown,1,unknown
FUN_0806f760,0806f760,x86,gcc,O3,1,1,0,0,56,89,35,23,21,0.25842696629213485,5.321428571428571,1,37,298,1.2494731634764944,0.12661221922994992,1010.0,33,0.12359550561797752,0.14082397003745317,0.149812734082397,0.00749063670411985,0.012734082397003745,0.0052434456928838954,0,0,152,195,219,234,0.149812734082397,5.634158437435144,2.63424334277342,0.1174496644295302,73,unknown,33,56,23,1.2921348314606742,unknown,1,unknown
FUN_0806fbc0,0806fbc0,x86,gcc,O3,1,1,0,0,9,14,7,4,3,0.2857142857142857,9.777777777777779,2,7,88,1.247982238510813,0.13872554315179478,266.0,5,0.12598425196850394,0.12598425196850394,0.12335958005249344,0.005249343832020997,0.005249343832020997,0.005249343832020997,0,0,64,50,56,68,0.12335958005249344,5.902361861738354,2.668281726858305,0.07954545454545454,45,unknown,4,10,4,1.5714285714285714,unknown,1,unknown
