function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
x_side_default,000107e8,arm,gcc,O2,1,1,0,0,8,14,8,4,4,0.2857142857142857,9.5,1,10,76,0.6562563602230393,0.04475048216466981,188,6,0.11464968152866242,0.050955414012738856,0.11146496815286625,0.0,0.0,0.006369426751592357,0,0,136,18,22,55,0.11146496815286625,5.960142680088728,2.214196285402322,0.10526315789473684,57,unknown,4,10,4,0.5714285714285714,unknown,1,unknown
uECC_vli_modSub,000108b8,arm,gcc,O2,1,1,0,0,8,10,4,0,0,0.0,5.5,2,8,44,0.7968559257738304,0.040469824293353704,156,2,0.0916030534351145,0.03435114503816794,0.09541984732824428,0.0,0.0,0.007633587786259542,0,0,1,11,15,44,0.09541984732824428,5.445433679080349,1.9371921854530099,0.09090909090909091,37,unknown,4,6,0,0.4,unknown,1,unknown
double_jacobian_default,00010934,arm,gcc,O2,1,1,0,0,19,46,29,18,18,0.391304347826087,12.105263157894736,2,22,230,0.9541320402701718,0.06387575476212191,552,27,0.10718954248366012,0.07581699346405228,0.10588235294117647,0.0,0.0,0.018300653594771243,0,0,200,72,100,117,0.10588235294117647,6.0224005838332815,2.2763635287929174,0.12608695652173912,101,unknown,10,36,18,0.782608695652174,unknown,1,unknown
XYcZ_addC,00010b98,arm,gcc,O2,1,1,0,0,3,23,22,19,19,0.8260869565217391,54.666666666666664,1,7,164,1.4862431044110502,0.11728395061728396,318,20,0.13488372093023257,0.10930232558139535,0.14186046511627906,0.0,0.0,0.004651162790697674,0,0,228,49,53,71,0.14186046511627906,5.290058718036149,2.3791519549233735,0.13414634146341464,41,unknown,1,22,19,1.8695652173913044,unknown,1,unknown
uECC_vli_mmod,00010d38,arm,gcc,O2,1,1,0,0,27,45,20,6,5,0.13333333333333333,6.814814814814815,1,20,184,0.7210895689838511,0.06378712846246862,768,18,0.06435643564356436,0.03762376237623762,0.0504950495049505,0.0,0.0,0.053465346534653464,0,0,196,92,200,144,0.0504950495049505,6.594402144419512,2.118365409032741,0.10869565217391304,152,unknown,16,29,6,0.5555555555555556,unknown,1,unknown
uECC_vli_modMult,00010f40,arm,gcc,O2,1,1,0,0,1,2,3,2,2,1.0,16.0,1,3,16,1.6600486526504978,0.07142857142857142,22,1,0.125,0.07142857142857142,0.19642857142857142,0.0,0.0,0.0,0,0,89,4,4,13,0.19642857142857142,4.233997907838829,2.514907070595782,0.1875,10,unknown,0,2,2,0.0,unknown,1,unknown
uECC_vli_modMult_fast,00010f68,arm,gcc,O2,1,1,0,0,1,1,2,1,1,1.0,14.0,1,2,14,1.704427037599118,0.11320754716981132,26,0,0.1320754716981132,0.11320754716981132,0.18867924528301888,0.0,0.0,0.0,0,0,80,6,6,12,0.18867924528301888,4.314972767530033,2.5427728145164394,0.14285714285714285,11,unknown,0,1,1,0.0,unknown,1,unknown
uECC_vli_modInv,00010f8c,arm,gcc,O2,1,1,0,0,53,91,40,15,15,0.16483516483516483,6.320754716981132,1,12,335,0.8588368719767999,0.04320185423058099,1014,38,0.09925220938137322,0.030591434398368457,0.09177430319510536,0.0,0.0,0.019034670292318152,0,0,248,73,129,229,0.09177430319510536,6.481534806455541,2.0636412069414387,0.11940298507462686,147,unknown,30,61,15,0.34065934065934067,unknown,1,unknown
EccPoint_isZero,000112e8,arm,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,4.0,3,5,20,0.8681301684090033,0.12468193851287135,132,0,0.024390243902439025,0.06504065040650407,0.016260162601626018,0.0,0.0,0.04878048780487805,0,0,0,14,26,10,0.016260162601626018,4.923352380525775,1.6435149632792545,0.1,19,unknown,2,3,0,0.4,unknown,1,unknown
apply_z,00011318,arm,gcc,O2,1,1,0,0,1,4,5,4,4,1.0,45.0,0,2,45,1.8179906239079786,0.1323529411764706,86,3,0.1323529411764706,0.1323529411764706,0.16176470588235295,0.0,0.0,0.0,0,0,128,18,18,27,0.16176470588235295,4.66549975323657,2.4473003458360227,0.1111111111111111,16,unknown,0,4,4,0.0,unknown,1,unknown
XYcZ_add,00011390,arm,gcc,O2,1,1,0,0,3,17,16,13,13,0.7647058823529411,38.666666666666664,1,6,116,1.4979463363943724,0.11835879005690327,228,14,0.12302839116719243,0.11041009463722397,0.138801261829653,0.0,0.0,0.006309148264984227,0,0,156,37,41,52,0.138801261829653,5.186500716170353,2.3324417099544084,0.13793103448275862,35,unknown,1,16,13,1.8235294117647058,unknown,1,unknown
EccPoint_mult,000114c4,arm,gcc,O2,1,1,0,0,15,41,28,15,15,0.36585365853658536,14.333333333333334,1,24,215,1.2776109759172565,0.059081788956549114,572,26,0.11201079622132254,0.07017543859649122,0.09041835357624832,0.0,0.0,0.02564102564102564,0,0,312,71,109,111,0.09041835357624832,6.203333481154574,2.301742790049968,0.13023255813953488,101,unknown,6,35,15,1.048780487804878,unknown,1,unknown
regularize_k,000116e8,arm,gcc,O2,1,1,0,0,12,18,8,5,5,0.2777777777777778,6.416666666666667,1,12,77,0.8023930300626656,0.0705379606758811,284,6,0.08352668213457076,0.037122969837587005,0.06960556844547564,0.0,0.0,0.03944315545243619,0,0,48,33,67,68,0.06960556844547564,6.011626718784939,2.221182103446977,0.1038961038961039,60,unknown,7,11,5,0.6666666666666666,unknown,1,unknown
EccPoint_compute_public_key,000117d0,arm,gcc,O2,1,1,0,0,5,7,4,2,2,0.2857142857142857,9.6,2,7,48,1.0379602129703085,0.07518624316697255,210,2,0.09282700421940929,0.046413502109704644,0.07172995780590717,0.0,0.0,0.03375527426160337,0,0,96,19,35,36,0.07172995780590717,5.709196721524646,2.158305238346306,0.08333333333333333,45,unknown,2,5,2,0.8571428571428571,unknown,1,unknown
uECC_vli_nativeToBytes,00011840,arm,gcc,O2,1,1,0,0,4,5,3,0,0,0.0,4.75,2,4,19,0.8952042138150974,0.06904761904761905,100,1,0.04838709677419355,0.056451612903225805,0.06451612903225806,0.0,0.0,0.04032258064516129,0,0,0,12,22,15,0.06451612903225806,4.779780045430954,1.910646830650663,0.15789473684210525,18,unknown,2,3,0,1.0,unknown,1,unknown
uECC_vli_bytesToNative,00011874,arm,gcc,O2,1,1,0,0,5,8,5,0,0,0.0,7.8,1,6,39,0.9465639221904206,0.0817965367965368,190,3,0.050387596899224806,0.04263565891472868,0.04263565891472868,0.0,0.0,0.04263565891472868,0,0,0,22,44,28,0.04263565891472868,5.532243595187428,1.938886095038891,0.1282051282051282,38,unknown,3,5,0,0.75,unknown,1,unknown
uECC_generate_random_int,000118d8,arm,gcc,O2,1,1,0,0,14,26,14,2,1,0.07692307692307693,7.142857142857143,2,7,100,0.7075167450580881,0.04148472998132524,400,12,0.08253358925143954,0.046065259117082535,0.07869481765834933,0.0,0.0,0.030710172744721688,0,0,96,40,72,82,0.07869481765834933,6.157530737092244,2.0886334706115237,0.14,81,unknown,10,16,2,0.8461538461538461,unknown,1,unknown
uECC_valid_point,000119e0,arm,gcc,O2,1,1,0,0,19,29,12,4,4,0.13793103448275862,4.842105263157895,2,16,92,0.7380145632668635,0.06922188707103229,388,10,0.06832298136645963,0.049689440993788817,0.06418219461697723,0.002070393374741201,0.0,0.033126293995859216,0,0,128,40,73,66,0.06418219461697723,6.259938892089375,2.186727107545692,0.13043478260869565,70,unknown,11,18,4,0.27586206896551724,unknown,1,unknown
uECC_valid_public_key,00011ad8,arm,gcc,O2,1,1,0,0,6,10,6,4,4,0.4,5.666666666666667,2,6,34,0.9335462629079982,0.04166435300868084,74,4,0.1346153846153846,0.05128205128205128,0.14102564102564102,0.0,0.0,0.01282051282051282,0,0,88,10,14,34,0.14102564102564102,5.449611266766045,2.641814802253528,0.17647058823529413,26,unknown,3,7,4,0.0,unknown,1,unknown
uECC_compute_public_key,00011b38,arm,gcc,O2,1,1,0,0,17,28,13,3,3,0.10714285714285714,7.352941176470588,3,19,125,0.7287759483131083,0.04882825263416701,550,11,0.07053941908713693,0.034578146611341634,0.04702627939142462,0.0,0.0,0.027662517289073305,0,0,128,45,85,93,0.04702627939142462,6.320285831958667,1.9328895278037233,0.104,100,unknown,11,17,3,0.7142857142857143,unknown,1,unknown
