architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,_init,00010430,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,1.6229810522232802,0.1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,__libc_start_main,00010450,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,__cxa_finalize,0001045c,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,printf,00010468,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,free,00010474,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,memcpy,00010480,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,malloc,0001048c,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,strlen,000104a4,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,abort,000104b0,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,0,0,0,3,2.048913382770813,0.14285714285714285,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
arm,Non-Crypto,clang,O0,xor_arm_clang_O0.elf,_start,000104bc,Non-Crypto,1,2,3,2,0,1.0,15.0,1,3,0,0,0,0,15,1.253551364864905,0.041666666666666664,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
